"","age","mean","sd","3rd","5th","10th","25th","50th","75th","90th","95th","97th"
"1","Birth_NA",51.4,2.9,45.7,46.4,48.3,49.5,51.4,53.3,54.6,55.9,55.9
"2","0–0.99_months3",52.04,2.46,48.3,48.3,48.8,50.8,52.1,53.3,55.8,55.9,56.8
"3","1–1.99_months3",55.54,2.53,50.8,51.4,52.1,53.3,55.9,57.2,58.7,59.7,60.9
"4","2–2.99_months3",58.73,2.5,54.6,54.6,55.9,56.8,58.4,60.6,62.2,63.4,63.5
"5","3–3.99_months4",62.09,2.52,57.8,58.3,59,60.3,61.9,63.5,65.3,66.6,67.3
"6","4–4.99_months4",64.15,2.58,59.6,60,61,62.5,64.1,66,67.3,68.6,68.6
"7","5–5.99_months",66.68,3.36,62.7,63,63.5,65,66.6,67.9,69.7,71.3,71.3
"8","6–6.99_months",68.49,2.45,64.6,64.8,65.8,66.8,68.2,70.2,71.7,71.9,72.8
"9","7–7.99_months",70.17,3.74,64.4,65.2,65.8,67.8,69.6,72.2,74.5,75.7,76.4
"10","8–8.99_months",71.69,3.03,67,67.7,68.4,69.6,71.3,73.8,74.9,76.2,78.3
"11","9–9.99_months",72.52,2.93,67.7,67.9,68.9,70.8,72.6,74,76,76.6,78.8
"12","10–10.99_months",73.18,2.72,68.5,69.5,70.3,71.5,73.3,75,76.5,77.8,78.2
"13","11–11.99_months",74.95,3.2,67.8,69.8,71.4,73.4,75,76.8,78.6,79.7,80
"14","12–14.99_months",77.81,4.33,72.4,72.9,74.1,75.7,77.3,79.5,82,82.9,83.8
"15","15–17.99_months",80.64,2.96,75.5,76.2,77,78.8,80.4,82.5,84.3,85.5,85.9
"16","18–20.99_months",83.75,4.05,76.2,77.8,80,81.6,83.7,86,88.4,90.2,91.9
"17","21–23.99_months",86.33,3.22,80.4,80.7,82.3,84.4,86.4,88.2,89.9,90.9,93
"18","24–29.99_months",89.18,3.62,82.1,83,84.8,87,89.1,91.3,93.9,95.5,96
"19","30–35.99_months",93.47,3.74,86,87,88.7,91.1,93.6,95.9,97.8,99.9,100.7
"20","2–2.49_years",89.1,3.66,82.5,83.6,85,86.7,88.9,91.2,93.8,95.5,97.4
"21","2.5–2.99_years",92.78,3.6,85.8,86.6,88.5,90.4,92.7,95.2,97.2,98.4,100
"22","3.0–3.49_years",96.82,4.03,89.2,90.5,92,94.2,96.7,99.6,101.8,103.3,104.8
"23","3.5–3.99_years",100.45,4.05,92.9,94.2,95.4,97.5,100.6,103,105.3,107.2,107.8
"24","4.0–4.49_years",104,4.43,96,96.9,98.8,101.3,104.2,106.8,109.2,111.8,112.6
"25","4.5–4.99_years",107.14,4.63,98.2,99.5,100.8,104,107,110.3,113.3,115,115.8
"26","5.0–5.49_years",110.94,4.92,102,103.1,105,107.6,111.1,114,117.1,118.8,120.5
"27","5.5–5.99_years",113.89,4.92,104.5,106.3,108,110.4,114,117.4,120.2,122,122.2
"28","6.0–6.49_years",117.21,5.45,107.8,108.5,110,113.3,117.2,121,123.7,126.1,127.3
"29","6.5–6.99_years",120.19,5.49,109.1,110.9,113.2,116.5,119.9,124,127.5,129.1,129.5
"30","7.0–7.49_years",123.47,5.62,113.1,114.4,116.8,119.9,123.1,126.7,131,132.8,134.7
"31","7.5–7.99_years",126.61,5.9,115.6,117.3,120.2,123.2,126.8,130.2,133.9,136.3,138
"32","8.0–8.49_years",128.62,5.76,118.2,119.5,121.8,124.9,128.7,132.6,135.7,137.2,138.6
"33","8.5–8.99_years",131.58,5.93,122.1,123.2,124.6,127,131.6,135.2,139.7,142.1,142.9
"34","9.0–9.49_years",134.71,6.22,121.8,124.1,126.9,130.7,135,138.4,142,145.8,147
"35","9.5–9.99_years",136.91,6.51,125.2,127.1,129.4,132.6,136.8,141,145.2,148,149.1
"36","10.0–10.49_years",139.59,7.67,126.3,127.9,130.6,135.6,140.1,144.5,147.8,151.9,152.7
"37","10.5–10.99_years",142.32,6.61,130.5,132.3,133.8,137.5,142.3,147,150.3,153.3,154.4
"38","11.0–11.49_years",144.65,6.87,132,133.7,135.8,140.2,144.5,149.4,153,155.2,156.7
"39","11.5–11.99_years",147.9,7.31,135.9,137.2,139.5,143.8,147.2,152.3,157.2,160,161.6
"40","12.0–12.49_years",151.43,8.05,137.8,138.5,141.4,146.3,150.9,156.8,163.1,166.2,168.3
"41","12.5–12.99_years",154.79,7.81,140.2,142,144.6,150,154.3,160,164.5,167.4,169.5
"42","13.0–13.49_years",158.49,8.47,143.4,145.2,148.3,152.6,157.8,163.9,170.8,173.1,174.3
"43","13.5–13.99_years",160.98,8.88,143.3,145.1,148.9,154.1,161.9,167.7,172.4,175.6,176
"44","14.0–14.49_years",166.13,8.53,148.6,151.5,156,160.8,166,172,177.3,179.4,180.5
"45","14.5–14.99_years",168.42,7.79,152,154.6,158.4,163.5,168.6,174.1,178.4,179.9,181.4
"46","15.0–15.49_years",170.61,7.67,156,158.1,161,165.3,170.8,175.6,180.9,183.8,185.7
"47","15.5–15.99_years",172.39,7.47,158.4,159,162.7,167.3,173.1,177.5,182.5,184.4,185.7
"48","16.0–16.49_years",173.31,6.78,160.4,161.9,164.2,169.5,173.3,177.7,181.2,184.8,186.7
"49","16.5–16.99_years",175.63,7.46,162.5,163.6,165.5,170.3,175.7,181.1,185.8,187.7,190.2
"50","17.0–17.49_years",175.78,7.92,160.8,162.7,166.5,170.9,176.1,181.3,186.3,188.2,188.5
"51","17.5–17.99_years",176.1,6.88,162.2,163.8,167.9,171.9,175.7,180.9,185.2,187.4,188.2
"52","18.0–18.49_years",177.53,6.87,166.3,168,169.3,173.2,176.4,181.9,187.8,190.4,192.6
"53","18.5–18.99_years",176.51,7.01,165.8,166.4,167.2,171.6,176.6,180.6,185.4,188,191.3
"54","19.0–19.49_years",175.86,6.3,163.7,164.7,167.9,171.3,176.5,180.8,183.2,185.4,187
"55","19.5–19.99_years",176.25,6.36,162,164.3,169.5,171.8,176.7,180,184.2,186.3,188.4
